origin;destination;number
36160010;36160002;10.0
30001213;30001143;10.0
30001031;30000915;20.0
37800005;30002811;20.0
30000113;30000822;10.0
30002312;30001314;10.0
30001213;30001146;10.0
36160009;30002311;10.0
30001034;30001643;10.0
30000932;30000923;10.0
30000848;30001034;10.0
30002811;30001114;10.0
30000934;30001114;10.0
30001123;30001124;10.0
30000123;30002211;10.0
1270001;other;110.0
30000932;30000924;10.0
30001333;other;10.0
30002412;30000931;10.0
30001216;30000934;10.0
30002412;10150006;10.0
30001641;30000924;20.0
30001633;other;340.0
30000914;other;350.0
30000923;30002711;10.0
30002612;30002811;60.0
10150004;30002212;10.0
30001336;30001146;10.0
30000932;30000912;30.0
30000923;30000532;10.0
30001221;30001012;10.0
30001032;10560001;20.0
30002412;30000924;20.0
30001221;30001014;10.0
30000412;30000924;10.0
30001121;30000924;10.0
30002512;30001015;10.0
30001216;30000924;10.0
30000911;30002911;10.0
37800004;37800005;10.0
37800004;37800006;20.0
30001632;30000533;10.0
30000841;37970009;10.0
30001354;other;420.0
37800008;30001345;10.0
30001213;30001122;10.0
37970009;30002111;40.0
7420001;7400001;10.0
26100014;30000924;20.0
36160002;30000812;10.0
12000014;other;180.0
30000931;30000848;10.0
30001034;30001622;10.0
30000923;30000542;10.0
30002411;30000412;10.0
30002212;1270001;10.0
30000931;30000841;30.0
30002411;30000411;10.0
30002412;30000914;10.0
30001345;30002412;10.0
30000412;30000914;10.0
30001221;30001021;10.0
30000512;30001021;10.0
30001352;30001345;10.0
30001214;30001215;10.0
30000543;30000821;20.0
7790001;other;240.0
30000543;30000831;10.0
30000411;30000425;10.0
30000411;30000426;30.0
30002411;30000425;20.0
30002411;30000426;20.0
30002811;30002412;10.0
30000411;30000421;10.0
30001035;30000841;10.0
30000824;30000135;10.0
30001312;30002412;10.0
30000543;30000832;10.0
30000832;30000425;10.0
30000832;30000426;10.0
30002112;30002512;30.0
30002112;30002511;10.0
30001032;30001021;10.0
30001032;30001023;10.0
30000856;30001344;10.0
30002611;30002711;40.0
36160005;30002412;10.0
36500001;30001114;10.0
30002611;30000533;10.0
30000931;30000423;10.0
30000931;30000421;40.0
30000411;30000431;20.0
30000931;30000426;60.0
30000411;30000432;20.0
30000411;30002611;10.0
11130001;36160007;10.0
30001334;30000915;10.0
30001631;30002613;10.0
30000832;30000412;10.0
30000832;30000413;10.0
30001122;30001032;10.0
30000822;30000812;10.0
30000543;30000853;10.0
37800004;other;360.0
37300003;10150002;10.0
30000824;30000543;20.0
30000124;30000543;10.0
30001312;other;300.0
30002611;30000543;10.0
30001021;30000412;10.0
30001035;30000822;10.0
30002212;30000812;20.0
30000931;30002612;10.0
30000934;30001146;10.0
30001217;30001023;10.0
26100016;26100013;10.0
30001353;30002312;10.0
30001131;30001014;10.0
30001222;30002412;20.0
30001222;30002411;10.0
30001034;30002512;10.0
30001354;30002811;10.0
30000812;30001223;10.0
30000853;30002412;20.0
30001223;other;90.0
30000848;30001021;10.0
7800001;30000511;20.0
26100013;37970007;10.0
30001335;30001032;10.0
30001625;30001632;10.0
30001625;30001634;10.0
30001337;30001217;10.0
30000812;30001217;10.0
4720001;30001114;10.0
30002812;30001215;10.0
36160002;30000846;10.0
30001337;30001213;10.0
30002312;30002613;10.0
30001013;30002312;10.0
10150005;37800005;10.0
30001211;30000511;10.0
36160002;30000841;10.0
30001124;30001212;10.0
30000835;36160008;10.0
30000133;30000511;10.0
30001143;other;300.0
30000425;30000832;10.0
30000931;30000411;20.0
30000931;30000412;30.0
26100016;26100032;10.0
30000846;other;20.0
30002212;30000835;10.0
30002212;30000836;10.0
30000425;30000836;10.0
30001212;10560001;40.0
36160008;30001345;20.0
30000931;30000413;30.0
other;30002811;10.0
30002212;30000832;30.0
30001134;30000835;10.0
30001131;30001021;10.0
30001344;30001023;10.0
30002711;other;1120.0
30001622;30001321;10.0
30002611;30001021;20.0
30000421;30000924;20.0
30000421;30000923;10.0
30000932;30000521;40.0
30001212;30001011;20.0
30001222;30001142;10.0
30002212;30000846;10.0
30000411;30001322;10.0
30002212;30000841;20.0
30002212;30000842;10.0
30001131;10560001;20.0
30002711;30002812;10.0
36160007;30000856;10.0
30002112;30001223;10.0
30002212;30000848;10.0
30000426;30000914;10.0
30000426;30000915;10.0
30000135;30002412;10.0
12000034;30001021;10.0
30001622;30001313;20.0
30000824;30001035;10.0
30002611;30001032;10.0
30000822;30000853;10.0
30001012;30000914;10.0
30002312;30000853;10.0
30000932;30000512;20.0
30000932;30000511;20.0
36160006;36160007;10.0
30000421;30000915;20.0
30000421;30000914;10.0
30000932;30000515;10.0
30001212;30001024;10.0
30000932;30000514;20.0
30000425;30000853;10.0
30001142;26100037;10.0
30000132;30000848;10.0
30000931;30001322;10.0
30002212;30000853;20.0
30001013;30001031;10.0
30001622;30001345;30.0
30000822;30000863;10.0
30001337;30002111;10.0
30000932;30000543;40.0
30002411;30000812;10.0
30000435;30000411;10.0
30000848;30000122;10.0
30002411;30000811;10.0
30001032;30000116;10.0
30000431;30000923;10.0
36500001;26100031;10.0
30001034;30001221;10.0
30001032;30000111;10.0
30001121;30000511;10.0
other;11370001;20.0
30000914;11370001;10.0
36160009;7400001;10.0
30000136;other;160.0
26100014;12000022;10.0
30001012;other;300.0
30000431;other;80.0
30001013;30001024;10.0
30001122;other;160.0
30002411;30000826;10.0
30000932;30000533;10.0
26100034;other;680.0
30002811;30002811;20.0
30002411;30000824;10.0
30000541;other;110.0
30001024;other;70.0
36160009;30000543;40.0
10150003;30000811;10.0
30001342;other;230.0
30000848;30002311;10.0
30001134;other;150.0
30001034;30001212;10.0
30000912;30000848;10.0
30001141;10560001;20.0
30000432;30002411;40.0
30002311;30001222;10.0
30000432;30002412;10.0
10150005;10150005;10.0
30001141;30002412;10.0
37300002;other;240.0
30001146;30001035;10.0
30000124;30000135;10.0
30000425;30000421;10.0
30000923;other;860.0
30001624;other;470.0
30000124;30000132;10.0
30001146;30001034;10.0
30000425;30000425;10.0
30001353;1270001;10.0
26100024;12000012;10.0
30002111;other;980.0
30002512;30000116;10.0
30000811;30001146;10.0
10150002;30002911;10.0
30001011;30001221;10.0
30002112;30002112;40.0
30002112;30002111;30.0
30001625;30001214;10.0
30001625;30001213;10.0
30000821;36160002;10.0
30000122;30000853;10.0
12000014;12000012;10.0
12000014;12000014;10.0
37970007;other;680.0
30000425;30000412;10.0
30001622;30001352;10.0
30000821;36160007;10.0
12000022;36480001;10.0
30002411;30000842;10.0
30002212;30000412;10.0
30000522;30002811;10.0
30001353;30000533;10.0
30000824;30001021;10.0
30000426;30000932;10.0
30002312;30000842;10.0
10150005;30000511;20.0
30000124;30000114;10.0
30000923;30001034;10.0
30001216;30000511;10.0
30000821;30001146;20.0
30002411;30000853;10.0
30001625;30001222;20.0
30001123;30001147;10.0
30002512;30002312;10.0
30002212;30000425;10.0
30001626;30000864;10.0
30001632;30001033;10.0
30000424;other;110.0
30001353;30000542;10.0
12000014;12000033;10.0
30002312;30000832;10.0
30000862;other;30.0
30001345;other;220.0
30002611;30001013;10.0
30000856;30000863;10.0
30000924;10560001;10.0
30001351;30000822;10.0
30000425;30000432;10.0
